# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.007        0.000      690.387    21855.859
       1.008        0.000      690.387    21855.859
       2.010        0.000      690.387    21855.859
       3.012        0.000      690.387    21855.859
       4.013        0.000      690.387    21855.859
       5.015        0.000      690.387    21855.859
       6.016        0.000      690.387    21855.859
       7.018       70.900     1551.238    49708.867
       8.019       86.900     2600.535    49708.867
       9.021       83.900     3657.809    49708.867
      10.022       87.900     4710.973    49708.867
      11.024       86.900     5726.754    49708.867
      12.025       83.900     6707.215    49708.867
      13.027       84.900     7726.090    49708.867
      14.028       88.900     8785.945    49708.867
      15.030       92.900     9794.508    49708.867
      16.031       92.900    10775.957    49708.867
      17.033       94.900    11774.977    49708.867
      18.034       95.800    12824.531    49708.867
      19.036       95.800    13877.180    49708.867
      20.037       80.900    14903.789    49708.867
      21.039       81.900    15929.109    49708.867
      22.040       89.900    16996.969    49708.867
      23.042       94.900    18052.195    49708.867
      24.043       95.900    19092.211    49708.867
      25.045       95.900    20143.312    49708.867
      26.046       95.900    21195.703    49708.867
      27.047       95.900    22253.496    49708.867
      28.049       95.900    23301.461    49708.867
      29.050       92.900    24248.402    49708.867
      30.052       95.900    25300.277    49708.867
      31.053       95.900    26342.871    49708.867
      32.055       95.900    27395.262    49708.867
      33.056       94.900    28427.027    49708.867
      34.058     2695.000    35933.062    60349.523
      35.059     5479.300    49369.637    73614.668
      36.061     2956.400    56827.105    82051.633
      37.062     3071.000    69276.090    93927.348
      38.064     4253.200    85491.164   110642.625
      39.066       98.900    85555.953   110706.625
      40.067     3995.800    85604.418   110770.625
      41.069     4109.100    85604.418   110770.625
      42.070     4092.000    85604.418   110770.625
      43.072     4108.100    85604.418   110770.625
      44.074     4087.400    85604.418   110770.625
      45.076     4100.000    85604.418   110770.625
      46.077     3941.400    85604.418   110770.625
      47.079     3688.900    85604.418   110770.625
      48.081     3629.100    85604.418   110770.625
      49.082     3587.200    85604.418   110770.625
      50.084     3597.100    85604.418   110770.625
      51.085     3587.200    85604.418   110770.625
      52.087     3497.500    85604.418   110770.625
      53.088     2898.200    85604.418   110770.625
      54.090     2063.900    85604.418   110770.625
      55.091     1492.700    85604.418   110770.625
      56.093     1835.300    85606.227   110770.625
      57.094     4093.800    85609.203   110770.625
      58.096     3784.200    85609.203   110770.625
      59.097     3603.400    85609.203   110770.625
      60.099     3108.500    89079.129   113794.641
      61.100     5544.300    97989.133   122606.988
      62.102     3367.000   103132.477   128589.645
      63.103      405.400   104624.566   129449.500
      64.105        8.000   104624.566   129449.500
      65.106       85.900    76685.266   102504.562
      66.107      310.500    77687.680   102504.562
      67.109      514.100    77687.707   102504.562
      68.111       13.000    76451.785   102504.562
      69.112       70.900    77498.762   102504.562
      70.114      786.900    77689.762   102504.562
      71.115       13.000    77689.762   102504.562
      72.117       69.900    77185.512   102504.562
      73.118      791.900    77692.031   102504.562
      74.120       23.000    77692.031   102504.562
      75.121       51.900    76936.930   102504.562
      76.123      507.200    76833.543   101644.707
      77.124      376.400    77693.602   102504.562
      78.126       24.000    76622.164   102504.562
      79.128       88.900    77679.711   102504.562
      80.129      837.900    77694.613   102504.562
      81.130        8.000    77694.613   102504.562
      82.132       87.900    77378.566   102504.562
      83.133     1331.000    77695.301   102504.562
      84.134       22.000    77695.301   102504.562
      85.136       53.900    76978.613   102504.562
      86.138      543.200    76836.816   101644.707
      87.139      373.400    77696.633   102504.562
      88.141       27.000    76669.527   102504.562
      89.142       84.900    77651.242   102504.562
      90.143      772.800    77697.844   102504.562
      91.145       13.000    77697.844   102504.562
      92.147       69.900    77219.633   102504.562
      93.148      764.800    77698.934   102504.562
      94.150       23.000    77698.934   102504.562
      95.152       40.900    76862.363   102504.562
      96.153      437.400    76840.312   101644.707
      97.154      347.500    77699.246   102504.562
      98.156       15.000    76492.199   102504.562
      99.158       90.900    77534.277   102504.562
